Model,Sex,Selection Rate,Precision,Recall / TPR,F1,False Positive Rate
Decision Tree,Female,0.04790419161676647,0.20833333333333334,0.23809523809523808,0.22222222222222224,0.03958333333333333
Decision Tree,Male,0.06620209059233449,0.28654970760233917,0.29878048780487804,0.29253731343283584,0.050434063662670524
Neural Network,Female,0.017964071856287425,0.2222222222222222,0.09523809523809523,0.13333333333333333,0.014583333333333334
Neural Network,Male,0.04490902051877662,0.2672413793103448,0.18902439024390244,0.22142857142857145,0.03513848697809012
