Model,Accuracy,Precision,Recall,F1,ROC_AUC
Credit Card - Decision Tree,0.999048391076023,0.7204301075268817,0.7052631578947368,0.7127659574468086,0.8524021037395169
Credit Card - Neural Network,0.9994537059880872,0.9444444444444444,0.7157894736842105,0.81437125748503,0.9478537564719905
Vehicle Fraud - Decision Tree,0.9118028534370947,0.27692307692307694,0.2918918918918919,0.2842105263157895,0.6216272153491885
Vehicle Fraud - Neural Network,0.920881971465629,0.264,0.1783783783783784,0.21290322580645163,0.7948146145455562
